tile_name,split
dop20rgbi_32_384_5512_2_rp_2022_017_020,train
dop20rgbi_32_384_5512_2_rp_2022_018_020,train
dop20rgbi_32_386_5512_2_rp_2022_018_001,train
dop20rgbi_32_388_5508_2_rp_2022_008_005,train
dop20rgbi_32_388_5508_2_rp_2022_008_006,train
dop20rgbi_32_388_5512_2_rp_2022_001_003,train
dop20rgbi_32_388_5512_2_rp_2022_001_004,train
dop20rgbi_32_388_5512_2_rp_2022_001_005,train
dop20rgbi_32_388_5512_2_rp_2022_002_003,train
dop20rgbi_32_388_5512_2_rp_2022_002_004,train
dop20rgbi_32_390_5508_2_rp_2022_013_010,train
dop20rgbi_32_394_5506_2_rp_2022_003_018,train
dop20rgbi_32_394_5506_2_rp_2022_004_018,train
dop20rgbi_32_394_5508_2_rp_2022_019_014,train
dop20rgbi_32_394_5508_2_rp_2022_020_014,train
dop20rgbi_32_394_5520_2_rp_2022_019_019,train
dop20rgbi_32_394_5520_2_rp_2022_019_020,train
dop20rgbi_32_394_5520_2_rp_2022_020_020,train
dop20rgbi_32_396_5518_2_rp_2022_007_014,train
dop20rgbi_32_396_5518_2_rp_2022_008_014,train
dop20rgbi_32_396_5520_2_rp_2022_002_003,train
dop20rgbi_32_400_5512_2_rp_2022_003_016,train
dop20rgbi_32_400_5512_2_rp_2022_004_016,train
dop20rgbi_32_400_5520_2_rp_2022_014_003,train
dop20rgbi_32_400_5520_2_rp_2022_015_003,train
dop20rgbi_32_400_5520_2_rp_2022_015_004,train
dop20rgbi_32_402_5508_2_rp_2022_003_018,train
dop20rgbi_32_402_5508_2_rp_2022_004_018,train
dop20rgbi_32_402_5508_2_rp_2022_004_019,train
dop20rgbi_32_402_5508_2_rp_2022_005_019,train
dop20rgbi_32_402_5512_2_rp_2022_020_020,train
dop20rgbi_32_404_5512_2_rp_2022_006_001,train
dop20rgbi_32_404_5512_2_rp_2022_006_002,train
dop20rgbi_32_404_5454_2_rp_2023_011_013,test
dop20rgbi_32_406_5454_2_rp_2023_006_001,test
dop20rgbi_32_418_5446_2_rp_2023_004_019,test
dop20rgbi_32_418_5446_2_rp_2023_004_020,test
dop20rgbi_32_418_5446_2_rp_2023_005_020,test
dop20rgbi_32_418_5446_2_rp_2023_006_019,test
dop20rgbi_32_420_5446_2_rp_2022_004_001,test
dop20rgbi_32_420_5446_2_rp_2022_004_002,test
dop20rgbi_32_414_5620_2_rp_2023_010_012,train
dop20rgbi_32_408_5606_2_rp_2023_010_010,validation
dop20rgbi_32_408_5606_2_rp_2023_011_010,validation
dop20rgbi_32_394_5526_2_rp_2022_009_016,train
dop20rgbi_32_394_5526_2_rp_2022_009_017,train
dop20rgbi_32_394_5526_2_rp_2022_009_018,train
dop20rgbi_32_394_5526_2_rp_2022_010_016,train
dop20rgbi_32_394_5526_2_rp_2022_011_017,train
dop20rgbi_32_400_5532_2_rp_2022_015_020,train
dop20rgbi_32_400_5532_2_rp_2022_016_020,train
dop20rgbi_32_404_5532_2_rp_2022_001_017,train
dop20rgbi_32_404_5532_2_rp_2022_002_017,train
dop20rgbi_32_404_5532_2_rp_2022_002_018,train
dop20rgbi_32_404_5532_2_rp_2022_003_017,train
dop20rgbi_32_404_5532_2_rp_2022_003_018,train
dop20rgbi_32_404_5532_2_rp_2022_004_016,train
dop20rgbi_32_404_5532_2_rp_2022_004_017,train
dop20rgbi_32_404_5532_2_rp_2022_005_006,train
dop20rgbi_32_404_5532_2_rp_2022_005_017,train
dop20rgbi_32_404_5532_2_rp_2022_006_006,train
dop20rgbi_32_404_5532_2_rp_2022_006_015,train
dop20rgbi_32_406_5532_2_rp_2022_003_008,train
dop20rgbi_32_406_5532_2_rp_2022_004_007,train
dop20rgbi_32_406_5532_2_rp_2022_004_008,train
dop20rgbi_32_406_5534_2_rp_2022_018_003,train
dop20rgbi_32_406_5534_2_rp_2022_018_009,train
dop20rgbi_32_406_5534_2_rp_2022_018_010,train
dop20rgbi_32_408_5524_2_rp_2022_003_007,train
dop20rgbi_32_408_5524_2_rp_2022_004_008,train
dop20rgbi_32_408_5536_2_rp_2022_019_017,train
dop20rgbi_32_410_5528_2_rp_2022_006_011,train
dop20rgbi_32_410_5532_2_rp_2022_002_005,train
dop20rgbi_32_410_5532_2_rp_2022_019_009,train
dop20rgbi_32_410_5532_2_rp_2022_019_010,train
dop20rgbi_32_410_5532_2_rp_2022_019_011,train
dop20rgbi_32_410_5532_2_rp_2022_019_012,train
dop20rgbi_32_410_5532_2_rp_2022_020_011,train
dop20rgbi_32_410_5534_2_rp_2022_007_020,train
dop20rgbi_32_410_5534_2_rp_2022_008_020,train
dop20rgbi_32_410_5536_2_rp_2022_002_017,train
dop20rgbi_32_410_5536_2_rp_2022_003_005,train
dop20rgbi_32_410_5536_2_rp_2022_003_017,train
dop20rgbi_32_412_5532_2_rp_2022_004_003,train
dop20rgbi_32_412_5534_2_rp_2022_001_004,train
dop20rgbi_32_412_5534_2_rp_2022_004_003,train
dop20rgbi_32_412_5534_2_rp_2022_004_004,train
dop20rgbi_32_412_5534_2_rp_2022_005_001,train
dop20rgbi_32_412_5534_2_rp_2022_005_004,train
dop20rgbi_32_412_5534_2_rp_2022_006_001,train
dop20rgbi_32_412_5534_2_rp_2022_012_003,train
dop20rgbi_32_412_5534_2_rp_2022_012_004,train
dop20rgbi_32_414_5528_2_rp_2022_002_015,train
dop20rgbi_32_414_5528_2_rp_2022_002_016,train
dop20rgbi_32_414_5528_2_rp_2022_003_015,train
dop20rgbi_32_414_5528_2_rp_2022_003_016,train
dop20rgbi_32_414_5530_2_rp_2022_004_007,train
dop20rgbi_32_414_5530_2_rp_2022_004_008,train
dop20rgbi_32_414_5530_2_rp_2022_005_007,train
dop20rgbi_32_414_5530_2_rp_2022_006_007,train
dop20rgbi_32_418_5528_2_rp_2022_009_009,train
