tile_name,split,x_center,y_center,acquisition_date
dop20rgbi_32_298_5548_2_rp_2023_006_020,train,299950,5549450,20230527
dop20rgbi_32_298_5548_2_rp_2023_009_020,train,299950,5549150,20230527
dop20rgbi_32_298_5548_2_rp_2023_010_020,train,299950,5549050,20230527
dop20rgbi_32_300_5542_2_rp_2023_011_014,train,301350,5542950,20230527
dop20rgbi_32_300_5542_2_rp_2023_012_013,train,301250,5542850,20230527
dop20rgbi_32_300_5542_2_rp_2023_012_014,train,301350,5542850,20230527
dop20rgbi_32_300_5542_2_rp_2023_017_011,train,301050,5542350,20230527
dop20rgbi_32_300_5542_2_rp_2023_017_012,train,301150,5542350,20230527
dop20rgbi_32_300_5542_2_rp_2023_018_011,train,301050,5542250,20230527
dop20rgbi_32_300_5542_2_rp_2023_018_012,train,301150,5542250,20230527
dop20rgbi_32_300_5546_2_rp_2023_011_014,train,301350,5546950,20230527
dop20rgbi_32_300_5546_2_rp_2023_011_015,train,301450,5546950,20230527
dop20rgbi_32_300_5546_2_rp_2023_011_017,train,301650,5546950,20230527
dop20rgbi_32_300_5546_2_rp_2023_012_015,train,301450,5546850,20230527
dop20rgbi_32_300_5546_2_rp_2023_012_016,train,301550,5546850,20230527
dop20rgbi_32_300_5546_2_rp_2023_012_017,train,301650,5546850,20230527
dop20rgbi_32_300_5548_2_rp_2023_001_007,train,300650,5549950,20230527
dop20rgbi_32_300_5548_2_rp_2023_001_008,train,300750,5549950,20230527
dop20rgbi_32_300_5548_2_rp_2023_001_009,train,300850,5549950,20230527
dop20rgbi_32_300_5548_2_rp_2023_001_010,train,300950,5549950,20230527
dop20rgbi_32_300_5548_2_rp_2023_001_011,train,301050,5549950,20230527
dop20rgbi_32_300_5548_2_rp_2023_001_014,train,301350,5549950,20230527
dop20rgbi_32_300_5548_2_rp_2023_001_016,train,301550,5549950,20230527
dop20rgbi_32_300_5548_2_rp_2023_002_008,train,300750,5549850,20230527
dop20rgbi_32_300_5548_2_rp_2023_002_009,train,300850,5549850,20230527
dop20rgbi_32_300_5548_2_rp_2023_002_011,train,301050,5549850,20230527
dop20rgbi_32_300_5548_2_rp_2023_002_012,train,301150,5549850,20230527
dop20rgbi_32_300_5548_2_rp_2023_002_013,train,301250,5549850,20230527
dop20rgbi_32_300_5548_2_rp_2023_002_014,train,301350,5549850,20230527
dop20rgbi_32_300_5548_2_rp_2023_002_015,train,301450,5549850,20230527
dop20rgbi_32_300_5548_2_rp_2023_003_003,train,300250,5549750,20230527
dop20rgbi_32_300_5548_2_rp_2023_003_004,train,300350,5549750,20230527
dop20rgbi_32_300_5548_2_rp_2023_003_005,train,300450,5549750,20230527
dop20rgbi_32_300_5548_2_rp_2023_003_007,train,300650,5549750,20230527
dop20rgbi_32_300_5548_2_rp_2023_003_009,train,300850,5549750,20230527
dop20rgbi_32_300_5548_2_rp_2023_003_010,train,300950,5549750,20230527
dop20rgbi_32_300_5548_2_rp_2023_003_011,train,301050,5549750,20230527
dop20rgbi_32_300_5548_2_rp_2023_004_004,train,300350,5549650,20230527
dop20rgbi_32_300_5548_2_rp_2023_004_005,train,300450,5549650,20230527
